garment_type,order_quantity,num_stitch_operations,target_sewing_time_mins
Dress,4627,16,10465.98
Trouser,2689,11,3679.33
Trouser,4099,12,6035.88
Trouser,348,11,447.04
Hoodie,801,17,2432.09
Hoodie,1041,18,3013.22
Trouser,3756,12,6081.11
Shirt,3854,11,3747.36
Dress,4066,19,9418.09
Trouser,2924,12,4743.87
Jacket,1968,27,8279.25
T-Shirt,1002,5,527.76
Kurti,2264,11,3369.82
Blazer,2121,27,12090.25
Kurti,4086,14,6334.71
Uniform,3645,18,7688.73
Shirt,4769,8,4341.45
Uniform,1380,15,3032.59
Dress,2837,18,6741.35
Jacket,3053,30,15787.88
T-Shirt,3062,7,1668.63
Trouser,1486,14,2336.66
Dress,284,15,610.88
T-Shirt,1758,6,971.62
T-Shirt,3238,5,1858.72
Uniform,1717,13,3301.29
Uniform,419,12,866.22
Blazer,681,22,3362.0
Shirt,4996,10,4571.77
Jeans,1648,17,3418.46
Dress,3731,14,8902.78
Trouser,2714,10,3617.12
Trouser,2973,14,4166.53
Trouser,4324,14,6850.73
Jacket,1092,24,5102.04
Jacket,1204,26,5909.56
Hoodie,1053,18,3192.0
Jacket,109,21,434.54
Dress,2849,20,6624.51
Shirt,3873,10,3564.26
Jacket,2868,28,12742.3
Blazer,214,25,1131.8
T-Shirt,1415,6,904.0
Blazer,1996,25,11249.79
Hoodie,2532,18,8288.63
Blazer,164,22,914.86
Dress,1817,19,4930.74
Hoodie,4623,16,14762.2
Hoodie,3095,20,9272.74
T-Shirt,1940,8,1150.82
Jeans,1230,17,2408.53
T-Shirt,2218,8,1321.57
Shirt,3590,11,3620.5
Hoodie,3945,16,11113.48
Uniform,733,16,1691.21
Uniform,4685,14,10518.49
Trouser,4027,14,6792.13
Dress,2046,17,4819.42
Uniform,235,17,497.25
Dress,1665,19,4276.41
Uniform,1128,18,2643.42
Blazer,875,26,4280.53
Jeans,705,14,1260.3
Shirt,2244,11,2054.66
Jacket,3914,21,17666.98
Blazer,4219,26,24003.49
Kurti,3695,10,6227.22
T-Shirt,246,6,138.92
Shirt,4150,9,3658.1
Jacket,829,30,3835.2
Jacket,1138,21,5172.71
Blazer,4940,29,29764.9
Blazer,3645,25,19965.28
T-Shirt,888,8,454.15
Dress,4923,14,10250.74
T-Shirt,639,8,430.56
T-Shirt,2044,6,1195.67
Hoodie,3360,19,10408.98
Shirt,147,12,110.51
Hoodie,4772,18,13642.29
Jeans,1249,18,2507.44
T-Shirt,2131,7,1330.09
Blazer,2256,26,11196.29
Dress,3181,18,7909.42
Jacket,2235,26,9274.12
Jeans,3900,18,7625.43
Jacket,341,25,1418.48
Uniform,4976,12,10109.68
Kurti,2587,11,4036.5
Jeans,4617,17,9414.22
Jeans,4577,12,8502.1
Shirt,2385,10,2541.07
Hoodie,3369,17,9389.46
Trouser,3503,13,5229.03
Shirt,3417,11,3250.85
Dress,3875,20,10296.07
Shirt,2439,11,2449.95
Jacket,3073,26,14040.28
Shirt,3414,11,3500.03
Shirt,4953,11,5326.64
Hoodie,1235,20,3983.27
Dress,1473,20,3680.47
Uniform,1403,14,3149.99
Blazer,4898,28,29367.47
T-Shirt,4121,5,2449.02
Trouser,862,14,1241.73
Kurti,3724,14,5609.11
Jeans,4280,16,8719.86
Jeans,4126,16,8386.16
Dress,4545,15,9834.75
Jacket,2167,26,9883.09
Blazer,2552,24,12233.9
Trouser,2949,15,4424.47
Kurti,932,12,1608.76
Dress,4564,20,10660.91
Blazer,1566,22,7885.34
Blazer,4526,29,24408.21
Kurti,2056,10,3137.14
Jacket,1510,27,7190.36
Jacket,4886,29,22661.05
Shirt,3690,11,3686.7
Trouser,2189,10,3147.41
Dress,3214,16,6933.07
Jacket,3679,29,19173.73
Kurti,1098,10,1791.23
Dress,364,17,891.12
Blazer,3321,22,17065.05
Kurti,1353,12,2229.99
Uniform,4418,12,9319.16
Hoodie,2552,16,7534.96
Shirt,565,12,549.23
Jacket,2045,28,8710.39
Blazer,2882,25,14837.62
Trouser,4177,14,6554.85
T-Shirt,128,6,50.29
Kurti,1797,16,3130.32
Trouser,1833,15,3066.4
Kurti,1885,15,3313.33
Dress,338,14,888.14
Dress,3838,19,8959.99
Uniform,4959,12,10246.1
Jeans,4780,18,9069.06
Uniform,4331,12,8939.68
Shirt,149,10,92.24
Dress,1265,20,3276.16
Uniform,1204,14,2280.89
Uniform,303,12,644.68
Kurti,615,13,1102.92
Trouser,1725,11,2390.92
Uniform,1445,14,2950.56
Blazer,1445,24,7103.37
Jacket,1030,24,4826.68
T-Shirt,1693,5,1058.11
Uniform,1323,17,2748.89
Trouser,4826,14,7657.86
T-Shirt,4849,6,2738.49
Jeans,4360,16,8713.84
Jeans,4539,14,8932.18
Shirt,2218,8,2115.3
Dress,4361,19,10725.76
Kurti,1793,16,2886.74
Jacket,4498,24,18526.26
T-Shirt,150,7,50.0
Trouser,4831,11,6794.06
Kurti,4970,10,7263.04
Dress,1764,18,4281.01
Blazer,4724,26,26519.93
Dress,3422,18,8156.71
Jacket,4752,21,18611.89
Jeans,1076,16,1922.25
Jeans,2196,17,4420.05
Dress,2371,20,5655.4
Uniform,405,15,807.98
Uniform,2768,14,5474.4
Trouser,934,15,1407.05
Trouser,1632,13,2491.27
Jeans,278,12,556.12
Hoodie,2968,22,8573.9
Hoodie,4308,18,12496.5
Dress,3138,19,8245.61
Hoodie,3829,21,13062.09
Kurti,1661,12,2475.5
Kurti,2178,16,3713.87
Blazer,1220,22,5624.25
T-Shirt,4407,8,2636.24
Shirt,597,11,592.14
Blazer,3557,22,16447.11
Uniform,3489,14,6512.71
Dress,2771,17,6626.32
Jeans,2724,15,5163.9
Hoodie,2267,16,7024.71
Kurti,1756,11,2948.42
Blazer,3372,24,18679.76
Trouser,2766,15,4729.25
Kurti,945,14,1751.63
Hoodie,143,19,446.23
Hoodie,2882,19,8411.27
Dress,3230,18,7189.88
Blazer,3730,30,21622.39
Blazer,150,26,790.19
Jeans,4728,15,8846.1
Hoodie,3261,22,11299.59
Blazer,3795,26,18304.71
Kurti,4599,15,7251.37
Hoodie,2324,16,6285.8
Kurti,4368,15,6866.13
T-Shirt,897,7,483.42
Jeans,2362,17,4716.88
Blazer,4274,25,20297.08
Uniform,113,14,327.27
Shirt,3287,11,3104.04
Uniform,377,14,832.99
Kurti,2726,13,4377.33
Kurti,2700,10,4445.78
Uniform,3829,14,7888.96
Jeans,4846,17,9624.53
Hoodie,4781,20,14303.54
Dress,4426,14,9863.2
Kurti,3991,11,6475.1
T-Shirt,4455,7,2559.57
Jacket,1000,20,3935.05
Shirt,2275,12,2433.78
Hoodie,1758,19,5422.69
Dress,1917,20,4518.81
Dress,4366,20,11893.08
Kurti,3124,10,5273.96
Jacket,1770,29,7802.63
Trouser,2752,13,4285.5
Jeans,4550,16,8326.64
Shirt,1996,12,1790.1
Jeans,3877,15,7047.81
T-Shirt,643,5,386.63
Hoodie,1936,20,5398.37
Uniform,4838,17,10261.66
Blazer,3782,28,21366.35
Uniform,4550,13,9859.56
Jeans,1781,18,3681.13
Hoodie,762,20,2438.61
Shirt,2050,8,2055.29
Dress,3130,18,8128.27
T-Shirt,1257,7,734.62
Jeans,3041,13,6303.65
T-Shirt,699,7,446.94
Kurti,2164,16,3401.54
Dress,2395,19,6414.39
Jeans,540,17,1077.96
Kurti,3536,16,5944.17
Shirt,1727,9,1618.42
Trouser,608,10,862.88
Jacket,1945,24,8871.01
Dress,417,19,1052.78
Jacket,2384,24,11311.43
Dress,1188,14,2668.05
Shirt,2790,10,2510.25
Dress,2916,20,7349.21
Hoodie,1497,21,4832.68
Uniform,1129,13,2246.12
Jeans,1078,17,2284.06
Jacket,237,21,1032.71
Jacket,2934,20,12087.9
Hoodie,2689,16,7361.76
Shirt,3339,8,3000.58
T-Shirt,4652,5,2332.64
T-Shirt,1701,8,1014.66
T-Shirt,2539,8,1588.52
Shirt,2953,11,3036.83
Shirt,3111,10,3086.01
Uniform,2799,17,6420.95
Blazer,3986,29,21655.16
Trouser,3079,13,4594.53
Blazer,4541,25,22594.34
Jacket,891,22,4059.3
Trouser,2531,11,3378.66
Blazer,2091,22,10269.81
Uniform,2972,12,5585.19
Dress,212,18,518.16
Shirt,3392,10,2912.6
Kurti,352,13,586.68
Uniform,1755,14,3342.96
Hoodie,540,20,1705.99
Blazer,2877,25,14616.79
Dress,3238,16,7386.44
Hoodie,4683,17,14805.25
Uniform,1235,16,2796.08
Blazer,4425,29,23508.07
Jacket,3343,29,16819.04
T-Shirt,4659,8,2717.56
Shirt,3006,10,3056.87
Shirt,3285,10,3161.97
Shirt,2149,11,1988.43
Dress,605,18,1519.07
Uniform,1671,13,3020.27
Blazer,4474,23,24360.19
Kurti,3476,11,5124.46
T-Shirt,2590,5,1503.97
Uniform,4003,16,8812.77
T-Shirt,3664,8,1936.16
Uniform,2548,13,4985.93
Jeans,932,13,1831.51
Shirt,1938,8,1948.12
Kurti,1405,15,2499.98
T-Shirt,361,5,207.02
Kurti,3237,12,5431.32
Shirt,1496,9,1346.64
Blazer,3821,27,19401.13
Jacket,1016,24,4409.93
Shirt,4089,8,3722.67
Shirt,1421,12,1502.35
Jacket,3512,21,15211.34
Uniform,3581,16,7858.13
Shirt,3822,11,3571.43
Jacket,4950,22,20065.25
Jacket,4212,21,18029.0
Jeans,1727,17,3449.73
Kurti,3847,11,5941.54
Trouser,1707,12,2603.07
Trouser,2102,10,3237.0
Kurti,3093,16,5548.37
Jacket,1656,22,6748.22
Hoodie,4044,18,11067.28
Dress,522,17,1190.56
Jeans,630,14,1221.07
Trouser,1932,11,3169.34
Jeans,179,14,382.84
Hoodie,1223,18,3914.41
Trouser,2723,13,3966.39
Blazer,4706,26,24843.35
Kurti,2228,11,3413.44
Uniform,1941,13,4223.82
Blazer,1171,28,6948.63
Kurti,3828,13,6682.79
Dress,4044,16,9433.32
Jacket,2615,28,11865.57
Dress,216,15,481.15
Dress,2222,17,4954.44
Trouser,2650,12,3812.95
Jacket,2982,21,13932.38
Jeans,1984,18,3950.51
Blazer,2094,28,12316.48
Trouser,2465,13,4036.92
Dress,231,18,545.83
Trouser,960,15,1537.68
Kurti,549,12,847.77
Jacket,3216,22,13408.86
T-Shirt,1335,8,729.23
Jeans,1546,12,2677.25
Uniform,1953,13,4056.04
Jacket,3503,27,15190.55
Jeans,4704,18,10027.18
Uniform,3304,14,6849.28
Jeans,1925,15,3827.49
Shirt,1871,10,1787.39
Kurti,4653,10,7402.8
Blazer,3163,28,15764.37
Jeans,1329,13,2521.59
Shirt,1530,8,1527.64
Hoodie,2918,21,8731.68
Dress,2705,15,6165.71
Uniform,1253,14,2696.95
Shirt,1782,9,1591.99
Jacket,210,27,981.8
Blazer,4964,22,26347.5
Dress,481,14,1040.48
Kurti,2802,13,4191.57
Dress,762,20,1862.47
Hoodie,4780,22,16007.81
Jeans,2817,16,5359.03
Dress,4899,16,12291.46
Uniform,1923,16,3827.77
Dress,967,17,2295.32
Blazer,187,30,996.63
Trouser,1825,12,2549.46
Jacket,1317,30,6001.66
Kurti,4458,11,6911.77
Shirt,197,9,171.94
T-Shirt,142,6,73.54
T-Shirt,2234,5,1091.89
T-Shirt,2492,8,1381.28
Kurti,2095,16,3549.21
T-Shirt,103,6,68.82
Shirt,3371,11,3487.78
Shirt,902,10,790.86
Hoodie,2644,22,8822.31
T-Shirt,4024,7,2050.77
Jeans,1777,13,3579.84
Trouser,1992,10,2589.6
Blazer,4957,26,25999.12
Dress,3725,17,9544.06
Dress,2333,17,5165.81
Trouser,336,11,438.36
Kurti,2723,16,4410.22
Trouser,2559,13,3803.15
T-Shirt,3620,6,1847.42
Blazer,515,24,2517.48
Hoodie,1194,20,3829.34
Kurti,2771,12,4158.37
Uniform,312,18,617.71
T-Shirt,3063,5,1696.32
Trouser,1832,14,2779.34
Jacket,1370,27,6524.9
Dress,4299,20,10895.93
Dress,3209,20,7929.26
Uniform,4942,17,10388.56
Trouser,617,13,984.51
T-Shirt,4617,5,2417.49
Uniform,1344,12,2780.39
T-Shirt,314,7,174.61
Shirt,1682,8,1497.79
Uniform,331,14,770.56
Trouser,4965,12,7658.42
Jeans,1350,12,2645.62
Jeans,737,16,1545.38
Shirt,242,9,228.03
Dress,1560,20,3576.13
Uniform,371,12,708.17
Dress,3274,15,7209.48
Blazer,1694,26,8636.11
T-Shirt,373,6,185.54
Jeans,1358,18,2920.76
T-Shirt,4322,5,2180.69
Blazer,1720,30,9354.35
Hoodie,4228,19,13905.83
Dress,1570,17,3986.6
Trouser,1021,11,1517.59
Jacket,824,27,3637.56
Shirt,4026,8,3898.62
Kurti,4594,13,6937.07
Trouser,3363,13,5431.78
Dress,3742,16,9159.69
Hoodie,2013,16,6375.77
Blazer,1839,24,10392.09
Uniform,3812,16,8464.57
Hoodie,4866,17,13318.42
Dress,2280,18,5669.93
Uniform,2426,17,4791.49
Trouser,1284,11,1850.3
Uniform,1180,12,2467.57
Kurti,1425,11,1976.85
Uniform,1561,14,3342.39
Trouser,4711,14,6715.29
Jacket,3676,24,15801.21
T-Shirt,132,7,70.24
Blazer,4212,29,25586.46
Dress,1501,15,3846.14
Shirt,699,10,587.8
T-Shirt,1987,8,1109.54
Jacket,1844,23,8257.03
Trouser,2039,12,3174.61
Jacket,4918,29,21823.9
Dress,3072,18,7192.76
Jacket,1588,21,6505.46
Jacket,3663,22,15844.18
Shirt,2095,9,2048.12
Dress,4968,15,11053.23
Jeans,4361,12,7407.05
Dress,941,18,2280.45
Trouser,3720,13,5812.82
Jacket,4682,29,22009.03
Dress,1844,19,4457.33
T-Shirt,1733,6,865.81
Dress,1113,17,2880.81
Jeans,1077,17,2215.17
Trouser,1048,11,1430.72
Jacket,2358,28,10485.26
Uniform,2082,12,4434.85
Trouser,3490,12,5370.3
Trouser,2469,12,4047.95
Blazer,787,29,4253.79
Uniform,2224,12,4505.08
Jacket,1386,28,7137.83
Blazer,3457,28,18625.53
Trouser,3643,13,5248.68
T-Shirt,2429,8,1552.81
Trouser,1478,13,2103.41
Jacket,4082,20,17422.89
Dress,4858,20,12990.52
Trouser,4832,14,6778.47
Hoodie,3916,19,12792.97
Trouser,1846,13,2653.81
Jacket,160,30,837.07
Blazer,1830,23,8497.64
Blazer,3065,27,15984.71
Kurti,3353,16,6100.33
Uniform,611,15,1173.49
Hoodie,754,19,2451.16
Blazer,4906,25,23374.61
Blazer,2063,24,11492.4
Blazer,4672,29,28156.71
Dress,3423,15,7421.41
Blazer,339,25,1839.96
Hoodie,2326,16,6475.97
Blazer,249,28,1415.49
Jacket,3101,28,13792.02
Jeans,3978,12,6913.73
T-Shirt,1264,7,764.1
Trouser,3097,11,4303.01
Shirt,1437,12,1337.02
Dress,668,19,1634.17
Jacket,3115,25,13103.58
T-Shirt,3887,5,2069.46
Jacket,4535,22,17881.92
Uniform,4269,16,8383.6
Jeans,1345,17,2493.84
Jacket,2811,25,12946.39
Hoodie,4828,16,13492.97
Dress,4890,19,13309.62
Jeans,3738,14,7750.56
T-Shirt,4283,6,2192.2
Jeans,1977,14,3449.1
Jacket,3364,22,15960.87
Uniform,532,15,1194.08
Blazer,214,24,1186.29
Kurti,195,12,327.18
Hoodie,1801,21,5444.42
Jeans,648,12,1124.69
Trouser,1803,14,2585.55
Blazer,1044,30,6132.17
Jacket,1430,23,6688.19
Blazer,2255,29,12711.85
Jeans,2259,18,4193.15
T-Shirt,4829,7,2477.8
Shirt,337,11,270.74
Kurti,3222,10,4669.96
Kurti,249,12,378.69
Uniform,4369,13,8616.37
Trouser,2363,14,3607.08
Hoodie,1329,21,3711.81
Trouser,846,11,1217.89
Jeans,3618,17,7217.11
Dress,947,15,2232.03
T-Shirt,3064,5,1677.87
Hoodie,3986,22,12760.16
Jeans,684,18,1448.6
Shirt,1848,12,1769.6
Dress,1073,14,2581.98
Jacket,4429,25,19975.56
Shirt,370,12,356.37
Kurti,2839,16,4441.37
T-Shirt,4744,8,2576.17
Dress,1611,15,3423.86
Uniform,1526,17,3407.98
Hoodie,4213,20,11792.13
Jacket,804,26,3565.55
Trouser,3822,10,5911.1
T-Shirt,4107,5,2446.74
Kurti,3336,13,5875.77
Dress,4823,18,11957.1
Dress,2926,16,7222.56
T-Shirt,1454,5,808.18
Blazer,4272,26,21983.32
Hoodie,3426,21,10369.51
Trouser,1169,12,1723.29
T-Shirt,3461,5,1994.57
Uniform,3605,15,7558.44
Blazer,2299,26,13096.47
Uniform,460,17,964.23
Blazer,4043,30,22206.48
Jeans,2623,17,4885.93
Shirt,2421,12,2248.71
Hoodie,583,16,1571.73
Dress,2261,14,5446.03
Jacket,4653,26,21491.94
Shirt,1566,12,1525.46
Jacket,1281,27,5500.36
T-Shirt,3742,7,2277.13
Hoodie,1833,21,5718.16
Shirt,3154,10,3362.78
Jacket,4659,22,19533.9
Shirt,289,8,247.7
Jacket,2648,20,10725.12
Jacket,2800,24,12655.73
Hoodie,3537,18,10020.58
Dress,3821,19,9134.43
Kurti,4202,11,6801.65
Blazer,3321,28,19558.53
Kurti,4529,12,7583.11
Jeans,2128,18,4041.3
Uniform,947,15,2027.37
Jeans,548,18,970.44
Uniform,3351,15,6420.81
Uniform,2916,14,5503.28
Hoodie,3342,21,10982.05
Trouser,977,12,1436.26
Trouser,978,14,1433.64
Shirt,3395,9,3222.57
Blazer,4297,26,23587.87
Uniform,4495,14,10045.02
Jacket,3136,29,14998.86
Uniform,1349,12,2851.49
Jeans,2961,12,5544.2
Hoodie,4842,21,16007.18
Hoodie,4469,21,13569.15
Kurti,231,13,432.5
Kurti,1249,16,2346.34
Blazer,155,22,873.34
Jeans,2976,13,5878.11
Blazer,225,27,1217.37
Dress,694,20,1804.5
Shirt,4305,11,4516.76
Blazer,3490,28,19777.38
Jeans,3559,16,7629.87
Trouser,3336,10,4683.91
Dress,1261,14,2636.17
Kurti,2012,12,3192.28
Hoodie,3704,18,12180.99
Hoodie,3613,22,10831.24
Shirt,1083,12,939.12
Hoodie,2440,20,7259.61
Trouser,4357,13,6715.18
Hoodie,4495,19,13059.89
Jeans,3519,12,5913.76
Kurti,4121,10,6292.45
Uniform,680,12,1302.99
Shirt,2456,11,2435.05
Uniform,4691,14,9030.55
T-Shirt,3027,8,1714.9
Kurti,4390,12,7181.59
Blazer,1622,23,8048.16
Kurti,756,14,1333.63
Blazer,1471,22,7064.21
Uniform,847,13,1795.93
Trouser,4250,13,5762.33
Hoodie,3703,19,12216.71
Jacket,2244,27,10033.12
Jacket,2941,29,13760.03
Trouser,3863,10,5633.53
Trouser,1025,13,1537.46
Shirt,4080,12,4366.57
Dress,2759,14,5976.87
Jacket,3205,20,13487.64
Hoodie,2261,20,6671.64
Jeans,708,16,1452.61
Jacket,345,27,1666.98
Jacket,4007,24,16052.73
Dress,2812,15,6638.23
Shirt,1817,12,1825.64
Jeans,1622,18,3152.27
T-Shirt,338,8,129.82
Jeans,1372,15,2763.42
Kurti,635,16,1185.32
Shirt,1503,11,1579.49
Trouser,4364,14,7017.28
Uniform,2296,15,5230.25
T-Shirt,1344,8,729.12
Kurti,112,15,159.0
Hoodie,3192,21,10989.93
Blazer,1539,26,8804.56
Jacket,324,28,1605.07
T-Shirt,4873,5,2774.57
Trouser,2351,11,3567.74
Jeans,4551,17,8522.17
Trouser,3006,12,4621.62
Jacket,1147,30,5866.89
T-Shirt,4730,5,2722.56
T-Shirt,4805,6,2461.68
Jeans,4900,18,9502.03
Kurti,3436,14,6249.31
Trouser,4926,13,7714.78
T-Shirt,260,5,149.34
Shirt,410,10,396.02
Shirt,3818,11,3930.17
Dress,666,17,1745.29
Trouser,3370,11,4867.06
T-Shirt,1002,8,606.74
T-Shirt,4780,5,2541.6
Hoodie,295,19,836.51
Hoodie,2797,21,8352.85
Shirt,2805,8,2536.51
Jacket,1591,23,6627.41
Jeans,1958,13,3703.49
Dress,4989,19,12402.4
Jacket,4542,24,20849.13
Hoodie,1116,18,3365.8
Uniform,3558,16,6920.12
Dress,4846,19,10950.38
T-Shirt,975,6,515.49
Kurti,3629,14,5842.86
Kurti,2480,11,3641.21
T-Shirt,3589,6,2006.14
Hoodie,3332,22,10593.73
Dress,1400,20,3330.08
Uniform,2629,16,6068.04
Jacket,3355,20,14732.99
Dress,2146,15,4899.68
Uniform,2132,16,4220.37
Blazer,3044,22,15625.3
Jacket,1200,21,4693.31
Trouser,4112,12,5575.35
Dress,3414,14,8610.28
Jeans,4835,18,10697.79
Kurti,1850,13,3054.28
Blazer,1552,24,8047.04
Hoodie,2402,20,7775.51
T-Shirt,486,7,204.32
Blazer,1724,24,9517.66
Jeans,3770,17,6912.72
Jeans,1072,12,2097.4
Kurti,1724,10,2479.87
T-Shirt,4861,5,2847.68
Jacket,4418,23,18451.53
Blazer,2749,29,16661.64
Jeans,4059,17,7925.52
Kurti,3959,12,6982.36
Jacket,1757,22,7354.36
Kurti,784,12,1334.74
T-Shirt,3634,7,1944.24
Uniform,1588,14,3088.05
Trouser,2874,14,4661.26
Shirt,3052,9,2969.14
Kurti,3745,13,6290.43
Blazer,4097,27,23119.23
Trouser,3529,11,5080.9
T-Shirt,1173,7,628.57
Blazer,261,22,1351.0
Hoodie,3611,16,10829.26
Dress,4711,14,11302.09
Jeans,2833,16,5730.33
Blazer,2547,25,12691.49
Kurti,2112,11,3270.08
Shirt,3557,12,3563.57
Uniform,3636,15,8033.26
Trouser,4796,10,6729.45
T-Shirt,2925,5,1439.79
Trouser,629,10,884.09
Blazer,2645,23,13905.01
Kurti,1668,16,3014.08
Trouser,3059,10,4347.76
Hoodie,3339,17,9657.74
Hoodie,141,18,448.31
T-Shirt,3469,6,2020.63
Dress,1220,17,3168.41
Uniform,434,15,921.47
T-Shirt,3627,7,1919.86
Shirt,3666,12,3238.8
Shirt,2891,12,2592.67
Blazer,1604,24,8661.16
Blazer,1407,30,8230.19
Blazer,4910,27,27265.49
Jacket,2323,24,10561.55
T-Shirt,795,5,361.51
Blazer,4368,24,23430.03
Hoodie,357,18,1094.8
Uniform,242,13,477.09
Dress,2174,19,5697.97
Jacket,4667,22,19551.23
Jeans,3548,13,6547.52
Shirt,3713,12,3348.89
Shirt,158,11,160.45
T-Shirt,4425,7,2311.49
Kurti,1707,10,2608.69
Blazer,3537,25,19298.14
Dress,3664,20,8881.25
Uniform,3331,13,6695.77
Uniform,985,12,1867.99
Blazer,653,25,3565.25
Jacket,804,27,3642.72
Uniform,3866,18,8614.83
T-Shirt,1907,7,1126.92
Uniform,2585,12,4703.84
Jeans,1065,15,2026.0
Jacket,3802,28,16754.56
Jacket,4301,28,19470.88
Trouser,3952,10,5531.15
Jeans,2721,18,5487.94
Kurti,1872,16,3434.05
Blazer,1049,24,5522.03
Jacket,1525,20,6505.27
Blazer,2265,29,11576.24
T-Shirt,1131,6,576.3
Jeans,992,13,2076.53
Kurti,721,12,1256.12
Kurti,511,11,891.32
Hoodie,1672,18,4854.37
Dress,4179,17,10203.9
Jeans,4735,18,10102.37
Blazer,3948,27,20130.57
Trouser,3634,10,5154.22
T-Shirt,3354,7,2022.47
Kurti,1386,15,2547.62
Uniform,871,14,1715.42
Hoodie,210,20,603.87
Shirt,4539,8,3855.92
Shirt,1933,8,1756.56
Kurti,2480,15,4503.63
Jeans,4340,13,7442.61
Shirt,1862,8,1519.32
Blazer,2660,23,14321.08
Shirt,1373,10,1479.94
Shirt,1947,9,1918.44
Blazer,3064,28,17492.9
Dress,2708,17,6552.89
Kurti,2602,11,4015.05
Uniform,2648,14,5390.51
Jeans,814,13,1618.33
Kurti,1928,14,3075.77
Jeans,4041,14,8270.11
Jeans,524,15,1027.13
T-Shirt,3900,6,2225.31
T-Shirt,232,5,88.56
Shirt,4062,8,3646.22
Trouser,1691,11,2421.98
Jeans,183,18,379.4
Uniform,1942,15,4177.92
Dress,2996,14,7452.82
Blazer,209,23,1173.93
Jacket,1054,30,5344.2
Trouser,3931,10,5810.51
Dress,3247,19,7781.12
Shirt,987,8,959.73
Trouser,2779,10,4374.17
Jacket,4457,22,17747.31
Jacket,1320,23,6334.1
Uniform,3265,17,6602.5
Blazer,716,28,3871.46
Jacket,1031,29,4623.41
Jacket,2029,28,9670.56
Shirt,3522,9,3353.77
Jacket,881,30,4346.5
Jeans,4587,14,9605.8
Blazer,3622,25,19626.28
Hoodie,3481,16,9679.2
Jacket,4084,23,16600.46
Kurti,2787,13,4151.04
Uniform,2226,13,4261.93
Hoodie,4345,21,14929.39
Shirt,1605,9,1631.22
Blazer,2474,29,13224.42
Trouser,180,11,277.81
Trouser,3614,11,5677.47
Trouser,2452,14,3913.02
Dress,590,15,1262.96
Hoodie,4795,19,15273.03
T-Shirt,516,6,264.41
Dress,3780,16,8564.79
Jacket,3615,25,15034.64
Jeans,4904,18,9373.73
Jeans,2980,16,5455.48
Kurti,3750,16,6598.18
Trouser,1112,14,1582.8
Jacket,3808,26,16671.67
T-Shirt,3557,6,1802.3
Jacket,2434,23,9880.25
Trouser,557,12,889.18
Jacket,3796,23,15570.25
Kurti,1347,15,2475.74
Dress,225,19,507.79
Jacket,2477,23,9843.72
Blazer,912,25,4281.41
Jeans,768,17,1453.35
Shirt,3390,8,3418.91
Kurti,2792,14,4849.62
Shirt,981,11,863.27
Uniform,2677,15,5692.81
Jeans,1376,16,2950.25
T-Shirt,1173,8,662.27
Kurti,3847,10,6074.36
Jeans,745,16,1597.4
Jeans,4770,16,10161.35
Hoodie,318,20,888.93
Jeans,3533,13,6031.23
Blazer,3511,30,18684.74
Trouser,127,12,148.32
Shirt,2185,9,1874.5
Dress,2352,19,5309.73
T-Shirt,3292,7,1986.26
Dress,3979,15,8512.95
Shirt,3424,12,3408.1
Hoodie,4164,19,12120.91
Jeans,765,17,1557.43
Hoodie,653,20,1913.92
Dress,4852,19,11692.09
Hoodie,2836,20,8924.46
Hoodie,184,21,586.62
Trouser,1516,14,2565.53
Hoodie,2662,16,8069.59
Kurti,1962,12,3464.19
Kurti,4386,11,6426.16
Dress,3671,19,8256.53
Dress,657,14,1478.98
Blazer,1460,27,7833.15
Jacket,3817,28,18419.83
Shirt,3977,10,3626.3
Hoodie,4307,19,13762.25
T-Shirt,4485,8,2800.4
Hoodie,2966,16,8692.48
Jeans,4284,18,9028.18
Uniform,4233,12,8619.25
T-Shirt,3172,7,1668.62
T-Shirt,3197,6,1752.94
Blazer,1253,24,7074.74
Trouser,3890,12,5264.64
Shirt,712,10,658.27
Kurti,1543,10,2280.6
Kurti,2180,14,3821.46
Dress,4149,17,9605.55
Jacket,4953,30,22936.99
Jeans,998,18,2148.54
Jacket,4314,20,16893.08
Uniform,4670,14,8966.95
Jeans,1357,18,2511.92
Jeans,1056,17,2370.92
Kurti,2612,16,4340.01
Jacket,2423,28,11039.27
Uniform,2029,18,4791.62
Uniform,1860,17,4314.67
Shirt,1074,9,1041.63
Dress,261,14,600.84
Dress,2997,18,6995.82
Trouser,3305,14,4886.62
Jacket,977,23,4319.8
Uniform,1774,12,3660.94
Dress,413,15,999.71
T-Shirt,3529,6,2091.35
Dress,4946,20,13356.9
Uniform,1839,17,3730.06
Blazer,3223,26,16342.05
Blazer,675,30,3581.53
Blazer,2627,25,14904.03
T-Shirt,1041,7,648.84
Hoodie,933,22,2693.61
Jacket,1165,22,4768.95
Blazer,2700,26,14507.31
Jacket,1615,29,7869.35
Jeans,4247,17,9368.07
Dress,4052,14,8746.83
Jacket,3633,21,14700.58
Shirt,2151,8,1928.37
Jeans,300,15,573.79
Kurti,685,11,1150.67
T-Shirt,4200,5,2267.63
T-Shirt,4758,5,2487.62
Uniform,1310,17,2729.71
Jeans,2026,12,3676.59
Jacket,4238,28,20746.59
Jeans,116,18,223.46
Trouser,2584,12,3951.22
Jacket,3907,28,19819.13
Dress,3273,15,7050.33
Jacket,3282,22,15053.8
